Country;Continente
Afghanistan;Asia
Albania;Europa
Algeria;Africa
Andorra;Europa
Angola;Africa
Antigua and Barbuda;North America
Argentina;South America
Armenia;Europa
Armenia;Asia
Australia;Oceania
Austria;Europa
Azerbaijan;Europa
Azerbaijan;Asia
Bahamas;North America
Bahrain;Asia
Bangladesh;Asia
Barbados;North America
Belarus;Europa
Belgium;Europa
Belize;North America
Benin;Africa
Bhutan;Asia
Bolivia;South America
Bosnia and Herzegovina;Europa
Botswana;Africa
Brazil;South America
Brunei;Asia
Bulgaria;Europa
Burkina Faso;Africa
Burundi;Africa
Cabo Verde;Africa
Cambodia;Asia
Cameroon;Africa
Canada;North America
Central African Republic;Africa
Chad;Africa
Chile;South America
China;Asia
Colombia;South America
Comoros;Africa
Costa Rica;North America
Cote dIvoire;Africa
Croatia;Europa
Cuba;North America
Cyprus;Europa
Cyprus;Asia
Czech Republic;Europa
Democratic Republic of the Congo;Africa
Denmark;Europa
Djibouti;Africa
Dominica;North America
Dominican Republic;North America
Ecuador;South America
Egypt;Africa
El Salvador;North America
Equatorial Guinea;Africa
Eritrea;Africa
Estonia;Europa
Ethiopia;Africa
Fiji;Oceania
Finland;Europa
France;Europa
Gabon;Africa
Gambia;Africa
Georgia;Europa
Georgia;Asia
Germany;Europa
Ghana;Africa
Greece;Europa
Grenada;North America
Guatemala;North America
Guinea;Africa
Guinea-Bissau;Africa
Guyana;South America
Haiti;North America
Honduras;North America
Hungary;Europa
Iceland;Europa
India;Asia
Indonesia;Asia
Iran;Asia
Iraq;Asia
Ireland;Europa
Israel;Asia
Italy;Europa
Jamaica;North America
Japan;Asia
Jordan;Asia
Kazakhstan;Europa
Kazakhstan;Asia
Kenya;Africa
Kiribati;Oceania
Kosovo;Europa
Kuwait;Asia
Kyrgyzstan;Asia
Laos;Asia
Latvia;Europa
Lebanon;Asia
Lesotho;Africa
Liberia;Africa
Libya;Africa
Liechtenstein;Europa
Lithuania;Europa
Luxembourg;Europa
Macedonia (FYROM);Europa
Madagascar;Africa
Malawi;Africa
Malaysia;Asia
Maldives;Asia
Mali;Africa
Malta;Europa
Marshall Islands;Oceania
Mauritania;Africa
Mauritius;Africa
Mexico;North America
Micronesia;Oceania
Moldova;Europa
Monaco;Europa
Mongolia;Asia
Montenegro;Europa
Morocco;Africa
Mozambique;Africa
Myanmar (Burma);Asia
Namibia;Africa
Nauru;Oceania
Nepal;Asia
Netherlands;Europa
New Zealand;Oceania
Nicaragua;North America
Niger;Africa
Nigeria;Africa
North Korea;Asia
Norway;Europa
Oman;Asia
Pakistan;Asia
Palau;Oceania
Palestine;Asia
Panama;North America
Papua New Guinea;Oceania
Paraguay;South America
Peru;South America
Philippines;Asia
Poland;Europa
Portugal;Europa
Qatar;Asia
Republic of the Congo;Africa
Romania;Europa
Russia;Europa
Russia;Asia
Rwanda;Africa
Saint Kitts and Nevis;North America
Saint Lucia;North America
Saint Vincent and the Grenadines;North America
Samoa;Oceania
San Marino;Europa
Sao Tome and Principe;Africa
Saudi Arabia;Asia
Senegal;Africa
Serbia;Europa
Seychelles;Africa
Sierra Leone;Africa
Singapore;Asia
Slovakia;Europa
Slovenia;Europa
Solomon Islands;Oceania
Somalia;Africa
South Africa;Africa
South Korea;Asia
South Sudan;Africa
Spain;Europa
Sri Lanka;Asia
Sudan;Africa
Suriname;South America
Swaziland;Africa
Sweden;Europa
Switzerland;Europa
Syria;Asia
Taiwan;Asia
Tajikistan;Asia
Tanzania;Africa
Thailand;Asia
Timor-Leste;Asia
Togo;Africa
Tonga;Oceania
Trinidad and Tobago;North America
Tunisia;Africa
Turkey;Europa
Turkey;Asia
Turkmenistan;Asia
Tuvalu;Oceania
Uganda;Africa
Ukraine;Europa
United Arab Emirates;Asia
United Kingdom;Europa
United States of America;North America
Uruguay;South America
Uzbekistan;Asia
Vanuatu;Oceania
Vatican City (Holy See);Europa
Venezuela;South America
Vietnam;Asia
Yemen;Asia
Zambia;Africa
Zimbabwe;Africa
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
